Body,Body Name,Name,Amount,Pay Date,Transaction Number,Description 1,Description 2
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,1625 Independent People,"24,799.40",08/03/2023,93033717,TPP - Payments to voluntary groups,Housing Options Commissioning
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,1625 Independent People,"3,598.40",08/03/2023,93033717,TPP - Payments to voluntary groups,Rapid Rehousing Pathway
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,1625 Independent People,"30,575.44",08/03/2023,93033718,TPP - Payments to voluntary groups,Housing Options Commissioning
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,1625 Independent People,"31,366.20",08/03/2023,93033719,TPP - Payments to voluntary groups,Housing Options Commissioning
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,3 Dimensions Care Limited,"6,034.90",03/03/2023,93029081,TPP - Residential Care,Preparing for Adulthood - Physical Support
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,3 Dimensions Care Limited,-219.4,03/03/2023,93029081,SUC - Residential Care independent sector,Preparing for Adulthood - Physical Support
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,3 Dimensions Care Limited,"6,034.90",17/03/2023,93037111,TPP - Residential Care,Preparing for Adulthood - Physical Support
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,3 Dimensions Care Limited,-219.4,17/03/2023,93037111,SUC - Residential Care independent sector,Preparing for Adulthood - Physical Support
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,3 Dimensions Care Limited,-219.4,31/03/2023,93045530,SUC - Residential Care independent sector,Preparing for Adulthood - Physical Support
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,3 Dimensions Care Limited,"6,034.90",31/03/2023,93045530,TPP - Residential Care,Preparing for Adulthood - Physical Support
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,LiveWest Homes Ltd,963.12,08/03/2023,93033704,TPP - Payments to voluntary groups,Supporting People General - Vol Orgs
